x,y,z,roll,pitch,yaw,vx,vy,vz
0.4,0,0.496844,3.14159,0,3.14159,0,0,0.0625
0.4,0,0.496781,3.14159,0,3.14159,0,0,0.063125
0.4,0,0.496717,3.14159,0,3.14159,0,0,0.06375
0.4,0,0.496652,3.14159,0,3.14159,0,0,0.064375
0.4,0,0.496588,3.14159,0,3.14159,0,0,0.065
0.4,0,0.496522,3.14159,0,3.14159,0,0,0.065625
0.4,0,0.496456,3.14159,0,3.14159,0,0,0.06625
0.4,0,0.496389,3.14159,0,3.14159,0,0,0.066875
0.4,0,0.496321,3.14159,0,3.14159,0,0,0.0675
0.4,0,0.496253,3.14159,0,3.14159,0,0,0.068125
0.4,0,0.496184,3.14159,0,3.14159,0,0,0.06875
0.4,0,0.496115,3.14159,0,3.14159,0,0,0.069375
0.4,0,0.496045,3.14159,0,3.14159,0,0,0.07
0.4,0,0.495974,3.14159,0,3.14159,0,0,0.070625
0.4,0,0.495903,3.14159,0,3.14159,0,0,0.07125
0.4,0,0.495831,3.14159,0,3.14159,0,0,0.071875
0.4,0,0.495759,3.14159,0,3.14159,0,0,0.0725
0.4,0,0.495686,3.14159,0,3.14159,0,0,0.073125
0.4,0,0.495612,3.14159,0,3.14159,0,0,0.07375
0.4,0,0.495538,3.14159,0,3.14159,0,0,0.074375
0.4,0,0.495462,3.14159,0,3.14159,0,0,0.075
0.4,0,0.495387,3.14159,0,3.14159,0,0,0.075625
0.4,0,0.495311,3.14159,0,3.14159,0,0,0.07625
0.4,0,0.495234,3.14159,0,3.14159,0,0,0.076875
0.4,0,0.495156,3.14159,0,3.14159,0,0,0.0775
0.4,0,0.495078,3.14159,0,3.14159,0,0,0.078125
0.4,0,0.494999,3.14159,0,3.14159,0,0,0.07875
0.4,0,0.49492,3.14159,0,3.14159,0,0,0.079375
0.4,0,0.49484,3.14159,0,3.14159,0,0,0.08
0.4,0,0.494759,3.14159,0,3.14159,0,0,0.080625
0.4,0,0.494678,3.14159,0,3.14159,0,0,0.08125
0.4,0,0.494596,3.14159,0,3.14159,0,0,0.081875
0.4,0,0.494514,3.14159,0,3.14159,0,0,0.0825
0.4,0,0.494431,3.14159,0,3.14159,0,0,0.083125
0.4,0,0.494347,3.14159,0,3.14159,0,0,0.08375
0.4,0,0.494262,3.14159,0,3.14159,0,0,0.084375
0.4,0,0.494177,3.14159,0,3.14159,0,0,0.085
0.4,0,0.494092,3.14159,0,3.14159,0,0,0.085625
